Directed by,Original air date,Production code,Season no.,Series no.,Title,U.S. viewers (millions),Written by,nth_season
Jean de Segonzac,2011-05-01,10004,1,188,Rispetto,5.10,Rick Eid,10
Michael Smith,2011-05-08,10001,2,189,The Consoler,3.68,Chris Brancato,10
Jean de Segonzac,2011-05-15,10002,3,190,Boots on the Ground,3.83,Teleplay by: Marlane Gomard Meyer Story by: Marlane Gomard Meyer & Paul Eckstein,10
Jean de Segonzac,2011-05-22,10006,4,191,The Last Street in Manhattan,3.33,Rick Eid,10
Michael Smith,2011-06-05,10003,5,192,Trophy Wine,3.91,Warren Leight,10
Frank Prinzi,2011-06-12,10005,6,193,Cadaver,3.59,Julie Martin,10
Frank Prinzi,2011-06-19,10007,7,194,Icarus,3.27,Julie Martin,10
Jean de Segonzac,2011-06-26,10008,8,195,To the Boy in the Blue Knit Cap,3.75,Julie Martin & Chris Brancato,10
