Directed by,No. in season,No. in series,Original air date,Production code,Title,U.S. viewers (millions),Written by,nth_season
David Platt,1,92,2003-09-23 00:00:00,E4403,Tragedy,13.23,Amanda Green,5
Guy Norman Bee,2,93,2003-09-30 00:00:00,E4401,Manic,11.50,Patrick Harbinson,5
Ted Kotcheff,3,94,2003-10-07 00:00:00,E4404,Mother,9.90,Lisa Marie Petersen & Dawn DeNoon,5
Constantine Makris,4,95,2003-10-14 00:00:00,E4402,Loss,12.65,Michele Fazekas & Tara Butters,5
Constantine Makris,5,96,2003-10-21 00:00:00,E4408,Serendipity,11.80,Lisa Marie Petersen & Dawn DeNoon,5
Jean de Segonzac,6,97,2003-10-28 00:00:00,E4409,Coerced,12.10,Jonathan Greene,5
David Platt,7,98,2003-11-04 00:00:00,E4411,Choice,13.20,Patrick Harbinson,5
Alex Zakrzewski,8,99,2003-11-11 00:00:00,E4410,Abomination,12.99,Michele Fazekas & Tara Butters,5
Ted Kotcheff,9,100,2003-11-18 00:00:00,E4413,Control,13.94,Teleplay: Neal Baer Story: Dick Wolf,5
Constantine Makris,10,101,2003-11-25 00:00:00,E4414,Shaken,13.14,Amanda Green,5
Jean de Segonzac,11,102,2003-12-02 00:00:00,E4415,Escape,13.65,Barbie Kligman,5
Jean de Segonzac,12,103,2004-01-06 00:00:00,E4412,Brotherhood,15.40,José Molina,5
David Platt,13,104,2004-01-13 00:00:00,E4416,Hate,14.00,Robert Nathan,5
Ed Bianchi,14,105,2004-02-03 00:00:00,E4406,Ritual,13.81,Ruth Fletcher & Christos N. Gage,5
Constantine Makris,15,106,2004-02-10 00:00:00,E4419,Families,12.89,Jonathan Greene,5
Rick Wallace,16,107,2004-02-17 00:00:00,E4420,Home,14.37,Amanda Green,5
Constantine Makris,17,108,2004-02-24 00:00:00,E4421,Mean,14.42,Michele Fazekas & Tara Butters,5
Steve Shill,18,109,2004-03-02 00:00:00,E4422,Careless,12.50,Patrick Harbinson,5
David Platt,19,110,2004-03-30 00:00:00,E4423,Sick,15.55,Dawn DeNoon,5
Jud Taylor,20,111,2004-04-06 00:00:00,E4424,Lowdown,12.60,Robert Nathan,5
Alex Zakrzewski,21,112,2004-04-20 00:00:00,E4425,Criminal,12.82,José Molina,5
Juan J. Campanella,22,113,2004-04-27 00:00:00,E4426,Painless,12.78,Jonathan Greene,5
Constantine Makris,23,114,2004-05-04 00:00:00,E4427,Bound,13.04,Barbie Kligman,5
David Platt,24,115,2004-05-11 00:00:00,E4428,Poison,12.28,Michele Fazekas & Tara Butters,5
Juan J. Campanella,25,116,2004-05-18 00:00:00,E4418,Head,18.36,Lisa Marie Petersen & Dawn DeNoon,5
