Directed by,No. in season,No. in series,Original air date,Production code,Title,U.S. viewers (millions),Written by,nth_season
Henry J. Bronchtein,1,44,2001-09-28,E2310,Repression,15.80,Marilyn Osborn,3
Jean de Segonzac,2,45,2001-10-05,E2314,Wrath,15.04,Judith McCreary,3
James Quinn,3,46,2001-10-12,E2315,Stolen,17.20,Robert F. Campbell & Jonathan Greene,3
Steve Shill,4,47,2001-10-19,E2318,Rooftop,15.44,"Teleplay: Robert F. Campbell & Jonathan Greene Story: Neal Baer, Robert F. Campbell, & Jonathan Greene",3
Jean de Segonzac,5,48,2001-10-26,E2312,Tangled,16.50,Dawn DeNoon & Lisa Marie Petersen,3
Ted Kotcheff,6,49,2001-11-02,E2319,Redemption,14.58,Jeff Eckerle,3
Lesli Linka Glatter,7,50,2001-11-09,E2309,Sacrifice,16.20,Teleplay: Samantha Howard Corbin & Javier Grillo-Marxuach Story: Javier Grillo-Marxuach,3
Juan J. Campanella,8,51,2001-11-16,E2311,Inheritance,14.50,"Teleplay: Tara Butters, Kathy Ebel, & Michele Fazekas Story: Kathy Ebel",3
Gloria Muzio,9,52,2001-11-23,E2317,Care,14.86,Dawn DeNoon & Lisa Marie Petersen,3
Constantine Makris,10,53,2001-12-14,E2316,Ridicule,15.33,Judith McCreary,3
Constantine Makris,11,54,2002-01-04,E2323,Monogamy,17.71,Tara Butters & Michele Fazekas,3
Alex Zakrzewski,12,55,2002-01-11,E2327,Protection,17.00,Robert F. Campbell & Jonathan Greene,3
Steve Shill,13,56,2002-01-18,E2326,Prodigy,16.03,Dawn DeNoon & Lisa Marie Petersen,3
Arthur W. Forney,14,57,2002-01-25,E2313,Counterfeit,16.76,Amanda Green,3
Alex Zakrzewski,15,58,2002-02-01,E2325,Execution,17.05,Judith McCreary,3
Jean de Segonzac,16,59,2002-03-01,E2329,Popular,15.80,Teleplay:Stephen Belber Story: Stephen Belber & Kathy Ebel,3
Steve Shill,17,60,2002-03-08,E2328,Surveillance,16.40,Jeff Eckerle,3
David Platt,18,61,2002-03-29,E2332,Guilt,14.40,Tara Butters & Michele Fazekas,3
Juan J. Campanella,19,62,2002-04-05,E2331,Justice,16.60,Dawn DeNoon & Lisa Marie Petersen,3
Constantine Makris,20,63,2002-04-26,E2330,Greed,14.22,Robert F. Campbell & Jonathan Greene,3
Steve Shill,21,64,2002-05-03,E2334,Denial,16.70,Judith McCreary,3
Jud Taylor,22,65,2002-05-10,E2335,Competence,17.30,"Teleplay: Robert F. Campbell & Jonathan Greene Story: Jeff Eckerle, Robert F. Campbell, & Jonathan Greene",3
Steve Shill,23,66,2002-05-17,E3103,Silence,14.27,Patrick Harbinson,3
