Directed by,No. in season,No. in series,Original air date,Production code,Title,U.S. viewers (millions),Written by,nth_season
Arthur W. Forney,1,117,2004-09-21 00:00:00,E5201,Birthright,14.20,Jonathan Greene,6
David Platt,2,118,2004-09-28 00:00:00,E5203,Debt,13.00,Amanda Green,6
Constantine Makris,3,119,2004-10-12 00:00:00,E5205,Obscene,12.35,José Molina,6
Daniel Sackheim,4,120,2004-10-19 00:00:00,E5207,Scavenger,12.62,Lisa Marie Petersen & Dawn DeNoon,6
Constantine Makris,5,121,2004-10-26 00:00:00,E5202,Outcry,13.01,Patrick Harbinson,6
David Platt,6,122,2004-11-09 00:00:00,E5208,Conscience,14.30,Roger Wolfson and Robert Nathan,6
Arthur W. Forney,7,123,2004-11-16 00:00:00,E5206,Charisma,16.38,Michele Fazekas and Tara Butters,6
Ted Kotcheff,8,124,2004-11-23 00:00:00,E5209,Doubt,15.20,Marjorie David,6
David Platt,9,125,2004-11-30 00:00:00,E5213,Weak,15.30,Michele Fazekas & Tara Butters,6
Juan J. Campanella,10,126,2004-12-07 00:00:00,E5212,Haunted,13.50,Amanda Green,6
Aaron Lipstadt,11,127,2005-01-11 00:00:00,E5214,Contagious,15.94,Jonathan Greene,6
Rick Wallace,12,128,2005-01-18 00:00:00,E5215,Identity,15.34,Lisa Marie Petersen and Dawn DeNoon,6
Constantine Makris,13,129,2005-01-25 00:00:00,E5217,Quarry,14.19,José Molina,6
David Platt,14,130,2005-02-08 00:00:00,E5216,Game,14.18,Patrick Harbinson,6
Jean de Segonzac,15,131,2005-02-15 00:00:00,E5211,Hooked,13.76,Joshua Kotcheff,6
David Platt,16,132,2005-02-22 00:00:00,E5218,Ghost,14.03,Amanda Green,6
Juan J. Campanella,17,133,2005-03-01 00:00:00,E5219,Rage,12.29,Michele Fazekas & Tara Butters,6
Aaron Lipstadt,18,134,2005-03-08 00:00:00,E5220,Pure,14.73,Dawn DeNoon,6
Marita Grabiak,19,135,2005-03-15 00:00:00,E5221,Intoxicated,11.05,Jonathan Greene,6
Juan J. Campanella & Arthur W. Forney,20,136,2005-05-03 00:00:00,E5224,Night,16.54,Teleplay: Amanda Green Story: Chris Levinson,6
Félix Enríquez Alcalá,21,137,2005-05-10 00:00:00,E5223,Blood,14.50,Patrick Harbinson,6
Matt Earl Beesley,22,138,2005-05-17 00:00:00,E5204,Parts,16.21,David Foster,6
Peter Leto,23,139,2005-05-24 00:00:00,E5225,Goliath,16.38,Michele Fazekas and Tara Butters,6
