Directed by,No. in season,No. in series,Original air date,Production code,Title,U.S. viewers (millions),Written by,nth_season
Michael Slovis,1,273,2011-09-21,13003,Scorched Earth,7.63,David Matthews,13
Tim McKay,2,274,2011-09-28,13002,Personal Fouls,7.24,Bryan Goluboff,13
Tom DiCillo,3,275,2011-10-05,13001,Blood Brothers,7.98,Julie Martin & Warren Leight,13
Fred Berner,4,276,2011-10-12,13004,Double Strands,7.34,John P. Roche,13
Peter Leto,5,277,2011-10-19,13005,Missing Pieces,7.66,Julie Martin & Warren Leight,13
Courtney Hunt,6,278,2011-11-02,13006,True Believers,7.10,Robin Veith,13
Alex Chapple,7,279,2011-11-09,13007,Russian Brides,6.70,Bryan Goluboff,13
Arthur W. Forney,8,280,2011-11-16,13008,Educated Guess,7.33,Judith McCreary,13
Jean de Segonzac,9,281,2011-11-30,13009,Lost Traveller,9.90,Julie Martin & David Matthews,13
Alex Chapple,10,282,2011-12-07,13010,Spiraling Down,7.03,John P. Roche & Warren Leight,13
Constantine Makris,11,283,2012-01-11,13011,Theatre Tricks,8.40,"Teleplay: Marygrace O'Shea Story: Marygrace O'Shea, Julie Martin & Warren Leight",13
Michael Smith,12,284,2012-01-18,13012,Official Story,6.42,Peter Blauner,13
Jean de Segonzac,13,285,2012-02-08,13013,Father's Shadow,6.55,Julie Martin & Warren Leight,13
Jim McKay,14,286,2012-02-15,13014,Home Invasions,5.90,Bryan Goluboff,13
Jonathan Kaplan,15,287,2012-02-22,13015,Hunting Ground,5.99,Teleplay: John P. Roche & David Matthews Story: John P. Roche & Warren Leight,13
Holly Dale,16,288,2012-02-29,13016,Child's Welfare,5.42,Teleplay: Julie Martin & Peter Blauner Story: Warren Leight,13
Michael Slovis,17,289,2012-04-11,13018,Justice Denied,5.57,Teleplay: Stuart Feldman Story: Stuart Feldman & Warren Leight,13
Peter Leto,18,290,2012-04-18,13017,Valentine's Day,5.95,Julie Martin & Warren Leight,13
Arthur W. Forney,19,291,2012-04-25,13020,Street Revenge,6.56,Teleplay: David Matthews Story: Julie Martin & David Matthews,13
Rosemary Rodriguez,20,292,2012-05-02,13021,Father Dearest,6.62,Teleplay: John P. Roche Story: John P. Roche & Warren Leight,13
Jonathan Herron,21,293,2012-05-09,13019,Learning Curve,5.90,Teleplay: Robin Veith Story: Julie Martin & Warren Leight,13
Alex Chapple,22,294,2012-05-16,13022,Strange Beauty,5.56,Robin Veith & Peter Blauner,13
Norberto Barba,23,295,2012-05-23,13023,Rhodium Nights,7.16,Julie Martin & Warren Leight,13
