Directed by,No. in season,No. in series,Original air date,Production code,Title,U.S. viewers (millions),Written by,nth_season
Peter Leto,1,162,2006-09-19 00:00:00,08001,Informed,14.55,Dawn DeNoon,8
James Hayman,2,163,2006-09-26 00:00:00,08003,Clock,14.41,Allison Intrieri,8
Juan J. Campanella,3,164,2006-10-03 00:00:00,08005,Recall,14.30,Jonathan Greene,8
David Platt,4,165,2006-10-10 00:00:00,08004,Uncle,13.89,Dawn DeNoon,8
David Platt,5,166,2006-10-17 00:00:00,08006,Confrontation,12.98,Judith McCreary,8
David Platt,6,167,2006-10-31 00:00:00,08009,Infiltrated,13.36,Dawn DeNoon,8
Jonathan Kaplan,7,168,2006-11-14 00:00:00,08007,Underbelly,14.76,Amanda Green,8
David Platt,8,169,2006-11-21 00:00:00,08008,Cage,14.20,Patrick Harbinson,8
Peter Leto,9,170,2006-11-28 00:00:00,08010,Choreographed,14.64,Paul Grellong,8
David Platt,10,171,2007-01-02 00:00:00,08002,Scheherazade,15.17,Amanda Green,8
Eriq La Salle,11,172,2007-01-09 00:00:00,08011,Burned,14.41,Judith McCreary,8
Arthur W. Forney,12,173,2007-01-16 00:00:00,08016,Outsider,14.17,Paul Grellong,8
David Platt,13,174,2007-02-06 00:00:00,08012,Loophole,13.45,Jonathan Greene,8
Peter Leto,14,175,2007-02-13 00:00:00,08015,Dependent,12.94,Ken Storer,8
Peter Leto,15,176,2007-02-20 00:00:00,08013,Haystack,11.94,Amanda Green,8
Peter Leto,16,177,2007-02-27 00:00:00,08017,Philadelphia,11.73,Patrick Harbinson,8
George Pattison,17,178,2007-03-27 00:00:00,08021,Sin,12.86,Patrick Harbinson,8
David Platt & Yelena Lanskaya,18,179,2007-04-03 00:00:00,08014,Responsible,11.16,Allison Intrieri,8
David Platt,19,180,2007-05-01 00:00:00,08018,Florida,11.41,Jonathan Greene,8
Peter Leto,20,181,2007-05-08 00:00:00,08019,Annihilated,10.94,Amanda Green,8
David Platt,21,182,2007-05-15 00:00:00,08020,Pretend,12.75,Dawn DeNoon,8
Arthur W. Forney,22,183,2007-05-22 00:00:00,08022,Screwed,10.28,Judith McCreary,8
