Directed by,No. in season,No. in series,Original air date,Production code,Title,U.S. viewers (millions),Written by,nth_season
Michael Slovis,1,296,2012-09-26,14001,Lost Reputation,7.19,Julie Martin & Warren Leight,14
Michael Slovis,2,297,2012-09-26,14002,Above Suspicion,7.19,Julie Martin & Warren Leight,14
Jean de Segonzac,3,298,2012-10-10,14003,Twenty-Five Acts,6.24,Teleplay by: John P. Roche Story by: Julie Martin & Warren Leight,14
Alex Chapple,4,299,2012-10-17,14004,Acceptable Loss,6.25,Ed Zuckerman,14
Jean de Segonzac,5,300,2012-10-24,14005,Manhattan Vigil,6.77,Peter Blauner,14
Jim McKay,6,301,2012-10-31,14006,Friending Emily,6.05,Kevin Fox,14
Michael Slovis,7,302,2012-11-14,14007,Vanity's Bonfire,5.78,Teleplay by: Gwendolyn Parker Story by: Gwendolyn Parker & Warren Leight,14
Alex Chapple,8,303,2012-11-21,14008,Lessons Learned,5.20,Teleplay by: Ed Zuckerman & John P. Roche Story by: Julie Martin & Ed Zuckerman,14
Michael Smith,9,304,2012-12-05,14009,Dreams Deferred,6.16,Julie Martin & Warren Leight,14
Courtney Hunt,10,305,2013-01-02,14010,Presumed Guilty,7.73,Kevin Fox,14
Jean de Segonzac,11,306,2013-01-09,14011,Beautiful Frame,8.42,Peter Blauner,14
Adam Bernstein,12,307,2013-01-30,14012,Criminal Hatred,6.42,Ed Zuckerman,14
Jean de Segonzac,13,308,2013-02-06,14013,Monster's Legacy,5.23,Teleplay by: John P. Roche Story by: Julie Martin & Warren Leight,14
Laura Belsey,14,309,2013-02-13,14014,Secrets Exhumed,6.35,Julie Martin & Warren Leight,14
Jim McKay,15,310,2013-02-20,14015,Deadly Ambition,5.61,Teleplay by: Julie Martin & Warren Leight Story by: Kevin Fox & Peter Blauner,14
Jean de Segonzac,16,311,2013-02-27,14016,Funny Valentine,5.44,Gwendolyn M. Parker,14
Michael Smith,17,312,2013-03-20,14017,Undercover Blue,5.51,Aaron Tracy & Ed Zuckerman,14
Jonathan Herron,18,313,2013-03-27,14018,Legitimate Rape,6.61,Kevin Fox & Peter Blauner,14
Alex Chapple,19,314,2013-04-03,14019[245],Born Psychopath,6.34,Julie Martin & Warren Leight,14
Holly Dale,20,315,2013-04-24,14020,Girl Dishonored,7.35,Teleplay by: Robert Brooks Cohen Story by: Julie Martin & Warren Leight,14
Alex Zakrzewski,21,316,2013-05-01,14021,Traumatic Wound,5.72,John P. Roche & Gwendolyn Parker,14
Arthur W. Forney,22,317,2013-05-08,14022,Poisoned Motive,6.91,Teleplay by: Julie Martin & Ed Zuckerman Story by: Warren Leight,14
Kevin Bray,23,318,2013-05-15,14023,Brief Interlude,6.48,"Teleplay by: Kevin Fox & Peter Blauner Story by: Kevin Fox, Pedro Garcia & Peter Blauner",14
Norberto Barba,24,319,2013-05-22,14024,Her Negotiation,6.66,Julie Martin & Warren Leight,14
