Directed by,No. in season,No. in series,Original air date,Production code,Title,U.S. viewers (millions),Written by,nth_season
David Platt,1,140,2005-09-20 00:00:00,07004,Demons,16.82,Amanda Green,7
David Platt,2,141,2005-09-27 00:00:00,07001,Design,15.32,Lisa Marie Petersen,7
Ted Kotcheff,3,142,2005-10-04 00:00:00,07007,911,16.24,Patrick Harbinson,7
Rick Wallace,4,143,2005-10-11 00:00:00,07003,Ripped,14.88,Jonathan Greene,7
Constantine Makris,5,144,2005-10-18 00:00:00,07005,Strain,14.36,Robert Nathan,7
Jonathan Robert Kaplan,6,145,2005-11-01 00:00:00,07008,Raw,15.20,Dawn DeNoon,7
David Platt,7,146,2005-11-08 00:00:00,07006,Name,15.76,Michele Fazekas,7
David Platt,8,147,2005-11-15 00:00:00,07009,Starved,15.73,Lisa Marie Petersen,7
Peter Leto,9,148,2005-11-22 00:00:00,07010,Rockabye,17.08,Patrick Harbinson,7
David Platt,10,149,2005-11-29 00:00:00,07011,Storm,17.54,Amanda Green & Neal Baer,7
Constantine Makris,11,150,2005-12-06 00:00:00,07002,Alien,16.29,José Molina,7
Michelle MacLaren,12,151,2006-01-03 00:00:00,07012,Infected,15.20,Michele Fazekas & Tara Butters,7
Peter Leto,13,152,2006-01-10 00:00:00,07013,Blast,14.72,Amanda Green,7
Arthur W. Forney,14,153,2006-01-17 00:00:00,07014,Taboo,16.10,Dawn DeNoon,7
Matt Earl Beesley,15,154,2006-02-07 00:00:00,07015,Manipulated,15.24,José Molina,7
George Pattison,16,155,2006-02-28 00:00:00,07016,Gone,13.83,Jonathan Greene,7
Aaron Lipstadt,17,156,2006-03-21 00:00:00,07017,Class,13.48,Paul Grellong,7
Peter Leto,18,157,2006-03-28 00:00:00,07019,Venom,14.24,Judith McCreary,7
Paul McCrane,19,158,2006-04-04 00:00:00,07018,Fault,15.36,Michele Fazekas & Tara Butters,7
Juan J. Campanella,20,159,2006-05-02 00:00:00,07021,Fat,15.27,Patrick Harbinson,7
Peter Leto,21,160,2006-05-09 00:00:00,07022,Web,12.88,Paul Grellong,7
Norberto Barba,22,161,2006-05-16 00:00:00,07020,Influence,12.97,Ian Biederman,7
