Directed by,No. in season,No. in series,Original air date,Production code,Title,U.S. viewers (millions),Written by,nth_season
David Platt,1,203,2008-09-23 00:00:00,10002,Trials,9.52,Dawn DeNoon,10
Arthur W. Forney,2,204,2008-09-30 00:00:00,10003,Confession,10.22,Judith McCreary,10
David Platt,3,205,2008-10-14 00:00:00,10004,Swing,9.40,Amanda Green,10
Peter Leto,4,206,2008-10-21 00:00:00,10001,Lunacy,9.35,Daniel Truly,10
Peter Leto,5,207,2008-10-28 00:00:00,10005,Retro,9.20,Jonathan Greene & Joshua Kotcheff,10
David Platt,6,208,2008-11-11 00:00:00,10006,Babes,9.42,Daniel Truly,10
Peter Leto,7,209,2008-11-18 00:00:00,10008,Wildlife,10.18,Mick Betancourt,10
Helen Shaver,8,210,2008-11-25 00:00:00,10009,Persona,8.55,Amanda Green,10
Eriq La Salle,9,211,2008-12-02 00:00:00,10007,PTSD,10.31,Judith McCreary,10
Chris Eyre,10,212,2008-12-09 00:00:00,10010,Smut,10.93,Kam Miller,10
David Platt,11,213,2009-01-06 00:00:00,10011,Stranger,10.64,Dawn DeNoon,10
Peter Leto,12,214,2009-01-13 00:00:00,10012,Hothouse,9.66,Charley Davis,10
David Platt,13,215,2009-02-03 00:00:00,10013,Snatched,10.31,Mick Betancourt,10
Peter Leto,14,216,2009-02-17 00:00:00,10014,Transitions,9.45,Ken Storer,10
David Platt,15,217,2009-03-10 00:00:00,10015,Lead,11.03,Jonathan Greene,10
Peter Leto,16,218,2009-03-17 00:00:00,10016,Ballerina,10.58,Daniel Truly,10
David Platt,17,219,2009-03-31 00:00:00,10017,Hell,9.34,Amanda Green,10
Christopher Zalla,18,220,2009-04-07 00:00:00,10018,Baggage,9.08,Judith McCreary,10
David Platt,19,221,2009-04-28 00:00:00,10019,Selfish,10.23,Mick Betancourt,10
Peter Leto,20,222,2009-05-05 00:00:00,10020,Crush,9.79,Jonathan Greene,10
Juan José Campanella,21,223,2009-05-19 00:00:00,10021,Liberties,6.73,Dawn DeNoon,10
Peter Leto,22,224,2009-06-02 00:00:00,10022,Zebras,11.34,Amanda Green & Daniel Truly,10
