Directed by,No. in season,No. in series,Original air date,Production code,Title,U.S. viewers (millions),Written by,nth_season
Ted Kotcheff,1,23,2000-10-20,E1403,Wrong Is Right,13.39,David J. Burke & Jeff Eckerle,2
Alan Metzger,2,24,2000-10-27,E1407,Honor,13.20,Robert F. Campbell & Jonathan Greene,2
Jean de Segonzac,3,25,2000-11-03,E1409,Closure (Part II),13.40,"Teleplay: David J. Burke, Judith McCreary, & Wendy West Story: Wendy West",2
Jud Taylor,4,26,2000-11-10,E1401,Legacy,13.40,Jeff Eckerle,2
Juan J. Campanella,5,27,2000-11-17,E1411,Baby Killer,12.80,Dawn DeNoon & Lisa Marie Petersen,2
Elodie Keene,6,28,2000-11-24,E1417,Noncompliance,15.40,Judith McCreary,2
David Platt,7,29,2000-12-01,E1404,Asunder,15.43,Judith McCreary,2
Michael Fields,8,30,2000-12-15,E1406,Taken,14.31,Dawn DeNoon & Lisa Marie Petersen,2
Jean de Segonzac,9,31,2001-01-12,E1416,Pixies,14.80,"Teleplay: Tracey Stern Story: Clifton Campbell, Jeff Eckerle, & Tracey Stern",2
James Quinn,10,32,2001-01-19,E1419,Consent,13.60,Jeff Eckerle,2
Richard Dobbs,11,33,2001-01-26,E1415,Abuse,15.20,"Teleplay: Dawn DeNoon & Lisa Marie Petersen Story: Dawn DeNoon, Lisa Marie Petersen, & Gwendolyn M. Parker",2
Arthur W. Forney,12,34,2001-02-02,E1416,Secrets,15.72,"Teleplay: Robert F. Campbell & Jonathan Greene Story: Robert F. Campbell, Jonathan Greene, & Wendy West",2
Constantine Makris,13,35,2001-02-09,E1420,Victims,14.90,Nick Kendrick,2
Richard Dobbs,14,36,2001-02-16,E1426,Paranoia,14.10,Robert F. Campbell & Jonathan Greene,2
Steve Shill,15,37,2001-02-23,E1412,Countdown,15.50,Dawn DeNoon & Lisa Marie Petersen,2
Richard Dobbs,16,38,2001-03-02,E1405,Runaway,14.56,David J. Burke & Nick Kendrick,2
Jud Taylor,17,39,2001-03-23,E1428,Folly,14.30,Todd Robinson,2
Stephen Wertimer,18,40,2001-04-20,E1431,Manhunt,12.70,Jeff Eckerle,2
David Platt,19,41,2001-04-27,E1427,Parasites,13.40,Martin Weiss,2
Steve Shill,20,42,2001-05-04,E1422,Pique,14.30,Judith McCreary,2
Alex Zakrzewski,21,43,2001-05-11,E1432,Scourge,15.06,Teleplay: Robert F. Campbell & Jonathan Greene Story: Neal Baer,2
