Directed by,No. in season,No. in series,Original air date,Production code,Title,U.S. viewers (millions),Written by,nth_season
David Platt,1,184,2007-09-25 00:00:00,09003,Alternate,12.10,Neal Baer & Dawn DeNoon,9
Peter Leto,2,185,2007-10-02 00:00:00,09004,Avatar,11.66,Paul Grellong & Chris Emposimato,9
David Platt,3,186,2007-10-09 00:00:00,09001,Impulsive,12.19,Jonathan Greene,9
Kate Woods,4,187,2007-10-16 00:00:00,09005,Savant,12.54,Judith McCreary,9
Peter Leto,5,188,2007-10-23 00:00:00,09002,Harm,12.17,Josh Singer,9
David Platt,6,189,2007-11-06 00:00:00,09006,Svengali,11.75,Kam Miller,9
David Platt,7,190,2007-11-13 00:00:00,09009,Blinded,12.49,Jonathan Greene,9
Juan J. Campanella,8,191,2007-11-20 00:00:00,09007,Fight,11.66,Mick Betancourt,9
Kate Woods,9,192,2007-11-27 00:00:00,09010,Paternity,12.29,Amanda Green,9
Jonathan Kaplan,10,193,2007-12-04 00:00:00,09008,Snitch,11.72,Mark Goffman,9
Helen Shaver,11,194,2008-01-01 00:00:00,09011,Streetwise,12.35,Paul Grellong,9
Arthur W. Forney,12,195,2008-01-08 00:00:00,09012,Signature,15.17,Judith McCreary,9
David Platt,13,196,2008-01-15 00:00:00,09013,Unorthodox,12.14,Josh Singer,9
Chris Zalla,14,197,2008-01-22 00:00:00,09014,Inconceivable,12.97,Dawn DeNoon,9
David Platt,15,198,2008-04-15 00:00:00,09015,Undercover,13.27,Mark Goffman,9
Peter Leto,16,199,2008-04-22 00:00:00,09016,Closet,11.50,Ken Storer,9
David Platt,17,200,2008-04-29 00:00:00,09017,Authority,12.06,Neal Baer & Amanda Green,9
Peter Leto,18,201,2008-05-06 00:00:00,09018,Trade,10.44,Jonathan Greene,9
David Platt,19,202,2008-05-13 00:00:00,09019,Cold,10.83,Judith McCreary,9
