Directed by,No. in season,No. in series,Original air date,Production code,Title,U.S. viewers (millions),Written by,nth_season
Arthur W. Forney,1,225,2009-09-23,11001,Unstable,8.36,Judith McCreary,11
Peter Leto,2,226,2009-09-30,11002,Sugar,7.90,Daniel Truly,11
Helen Shaver,3,227,2009-10-07,11003,Solitary,8.29,Amanda Green,11
Peter Leto,4,228,2009-10-14,11004,Hammered,8.77,Dawn DeNoon,11
David Platt,5,229,2009-10-21,11005,Hardwired,9.15,Mick Betancourt,11
Peter Leto,6,230,2009-10-28,11006,Spooked,8.24,Jonathan Greene,11
David Platt,7,231,2009-11-04,11008,Users,7.94,Michael Angeli,11
Peter Leto,8,232,2009-11-11,11009,Turmoil,8.77,Judith McCreary,11
David Platt,9,233,2009-11-18,11010,Perverted,8.44,Dawn DeNoon,11
Jonathan Kaplan,10,234,2009-12-09,11007,Anchor,7.91,Amanda Green & Daniel Truly,11
David Platt,11,235,2010-01-06,11011,Quickie,11.49,Ken Storer,11
Amy Redford,12,236,2010-01-13,11012,Shadow,7.65,Amanda Green,11
Juan J. Campanella,13,237,2010-03-03,11015,P.C.,7.47,Daniel Truly,11
Peter Leto,14,238,2010-03-03,11014,Savior,9.04,Mick Betancourt,11
Peter Leto,15,239,2010-03-10,11013,Confidential,8.57,Jonathan Greene,11
David Platt,16,240,2010-03-17,11016,Witness,9.65,Dawn DeNoon & Christine M. Torres,11
Paul Black,17,241,2010-03-24,11017,Disabled,10.58,Judith McCreary,11
Helen Shaver,18,242,2010-03-31,11018,Bedtime,10.08,Teleplay: Neal Baer & Daniel Truly Story: Charley Davis,11
David Platt,19,243,2010-04-07,11019,Conned,8.36,Ken Storer,11
Peter Leto,20,244,2010-04-21,11020,Beef,8.75,Lisa Loomer,11
Peter Leto,21,245,2010-04-28,11021,Torch,9.48,Mick Betancourt & Amanda Green,11
David Platt,22,246,2010-05-05,11022,Ace,8.42,Jonathan Greene,11
David Platt,23,247,2010-05-12,11023,Wannabe,8.56,Dawn DeNoon,11
Peter Leto,24,248,2010-05-19,11024,Shattered,8.61,Amanda Green & Daniel Truly,11
