Directed by,No. in season,No. in series,Original air date,Production code,Title,U.S. viewers (millions),Written by,nth_season
Arthur W. Forney,1,249,2010-09-22,12001,Locum,9.68,Dawn DeNoon,12
Peter Leto,2,250,2010-09-22,12002,Bullseye,10.36,Daniel Truly,12
Helen Shaver,3,251,2010-09-29,12003,Behave,9.48,Jonathan Greene,12
Peter Leto,4,252,2010-10-06,12004,Merchandise,8.69,Judith McCreary,12
Jonathan Kaplan,5,253,2010-10-13,12005,Wet,8.13,Speed Weed,12
Peter Leto,6,254,2010-10-20,12006,Branded,8.74,Chris Brancato,12
Donna Deitch,7,255,2010-11-03,12007,Trophy,8.13,Ken Storer,12
Peter Leto,8,256,2010-11-10,12008,Penetration,7.18,Christine M. Torres & Dawn DeNoon,12
Helen Shaver,9,257,2010-11-17,12009,Gray,7.65,George Huang,12
Peter Leto & Constantine Makris,10,258,2010-12-01,12010,Rescue,9.22,Daniel Truly,12
Norberto Barba,11,259,2011-01-05,12012,Pop,10.60,Jonathan Greene,12
Constantine Makris,12,260,2011-01-05,12013,Possessed,10.60,Brian Fagan,12
Donna Deitch,13,261,2011-01-12,12015,Mask,8.39,Speed Weed,12
Helen Shaver,14,262,2011-01-19,12011,Dirty,6.97,Judith McCreary,12
Alex Chapple,15,263,2011-02-02,12016,Flight,8.81,Dawn DeNoon & Christine M. Torres,12
Peter Leto,16,264,2011-02-09,12014,Spectacle,7.89,Chris Brancato,12
Jonathan Kaplan,17,265,2011-02-16,12017,Pursuit,7.31,Judith McCreary,12
Helen Shaver,18,266,2011-02-23,12018,Bully,8.02,Ken Storer,12
Patrick Creadon,19,267,2011-03-23,12019,Bombshell,8.84,Daniel Truly,12
Jonathan Kaplan,20,268,2011-03-30,12020,Totem,8.54,Jonathan Greene,12
Constantine Makris,21,269,2011-04-06,12021,Reparations,8.29,Christine M. Torres,12
Peter Leto,22,270,2011-05-04,12022,Bang,8.53,Speed Weed,12
Holly Dale,23,271,2011-05-11,12023,Delinquent,8.10,Dawn DeNoon,12
Helen Shaver,24,272,2011-05-18,12024,Smoked,8.98,Jonathan Greene & Daniel Truly,12
