row_id|character_name|male|female
402|Carl Cooper|1.0|0.0
403|Carl Kudlak|1.0|0.0
404|Carla|0.0|1.0
405|Carlisle|0.0|1.0
407|Carlo Parisi|1.0|0.0
408|Carlos|1.0|0.0
409|Carlos Martinez|1.0|0.0
410|Carlos Medina|1.0|0.0
411|Carly|0.0|1.0
412|Carly Holbart|0.0|1.0
413|Carmel|0.0|1.0
414|Carmella|0.0|1.0
415|Carmella Barrantes|0.0|1.0
416|Carmen|0.0|1.0
417|Carmen Trancoso|0.0|1.0
419|Carol Henderson|1.0|0.0
420|Caroline|0.0|1.0
421|Caroline Ann Preston|1.0|0.0
422|Carolyn Maddox|0.0|1.0
423|Carolyn Pereira|0.0|1.0
425|Carrie|0.0|1.0
426|Carrie Huitt|0.0|1.0
427|Carson|1.0|0.0
429|Caryn|0.0|1.0
430|Caryn Wyman|0.0|1.0
433|Case|1.0|0.0
434|Casey|1.0|1.0
435|Casey Novak|1.0|1.0
436|Cass|1.0|1.0
437|Cass Holloman|1.0|1.0
438|Cass Magnall|1.0|1.0
440|Cassandra|0.0|1.0
441|Cassandra Sullivan|1.0|0.0
443|Cassie|0.0|1.0
444|Cat|1.0|1.0
445|Catarina|0.0|1.0
451|Celeste|0.0|1.0
452|Celeste Mott|0.0|1.0
453|Celia|0.0|1.0
454|Celia Goddard|1.0|0.0
459|Central Park|1.0|0.0
463|Cesar Chavez|1.0|0.0
464|Cesar Vasques|1.0|0.0
465|Chad Patel|1.0|0.0
467|Chantal|0.0|1.0
469|Charge Claire|1.0|1.0
470|Charles|1.0|0.0
471|Charles Lee|1.0|1.0
472|Charley Moss|1.0|0.0
473|Charlie|1.0|0.0
474|Charlie Monaghan|1.0|0.0
475|Charlotte|0.0|1.0
476|Chase|1.0|0.0
477|Chauncey|1.0|0.0
478|Chauncey Zierko|1.0|0.0
480|Chelsea|0.0|1.0
481|Chelsea Doe|0.0|1.0
482|Cherry Glow Lipstick|0.0|1.0
483|Chester|1.0|0.0
484|Chet|1.0|0.0
485|Chet Hadler|1.0|0.0
494|Chloe|0.0|1.0
495|Chris|1.0|1.0
496|Chris Coty|1.0|1.0
497|Christ|1.0|0.0
498|Christian Colleges|1.0|1.0
499|Christie|1.0|1.0
501|Christopher James|1.0|0.0
502|Chuck|1.0|0.0
503|Chuck Mosley|1.0|0.0
504|Churchill|1.0|0.0
505|Cindy|0.0|1.0
509|Claire|1.0|1.0
510|Clare|1.0|1.0
511|Clark Jensen|1.0|0.0
513|Clay|1.0|0.0
514|Clayton|1.0|0.0
515|Clayton Derricks|1.0|0.0
517|Cleveland|1.0|0.0
518|Clyde|1.0|0.0
523|Cole|1.0|0.0
524|Coleen|0.0|1.0
525|Coleman|1.0|0.0
526|Colleen|0.0|1.0
544|Connor|1.0|0.0
546|Conroy|1.0|0.0
547|Constanta|0.0|1.0
548|Constanta Condrescu|0.0|1.0
551|Cooper|1.0|0.0
556|Corinne|0.0|1.0
557|Corinne Nicholson|0.0|1.0
560|Corrine|0.0|1.0
561|Corrine Nicholson|0.0|1.0
566|Courtney|1.0|1.0
567|Courtney Jones|1.0|1.0
571|Cragen Alma|0.0|1.0
572|Cragen Andrew|1.0|0.0
573|Cragen Bruce|1.0|0.0
574|Cragen Eden|0.0|1.0
576|Cragen Michael|1.0|0.0
577|Cragen Warner|1.0|0.0
578|Craig Prince|1.0|0.0
589|Cynthia|0.0|1.0
590|Cynthia Wilmont|0.0|1.0
591|Cyrus Parker|1.0|0.0
592|Cyrus Weaver|1.0|0.0
595|DA Arthur Branch|1.0|0.0
597|DA Jack|1.0|0.0
610|Dahlia|0.0|1.0
611|Daisy|0.0|1.0
612|Daisy Chao|0.0|1.0
613|Dallas|1.0|1.0
614|Dallas Warner|1.0|0.0
