season,season_num,series_num,title,director,writer,code,viewership
8,10,171,Scheherazade,David Platt,Amanda Green,08002,15170000.0
8,11,172,Burned,Eriq La Salle,Judith McCreary,08011,14410000.0
8,12,173,Outsider,Arthur W. Forney,Paul Grellong,08016,14170000.0
8,13,174,Loophole,David Platt,Jonathan Greene,08012,13450000.0
8,14,175,Dependent,Peter Leto,Ken Storer,08015,12940000.0
8,15,176,Haystack,Peter Leto,Amanda Green,08013,11940000.0
8,16,177,Philadelphia,Peter Leto,Patrick Harbinson,08017,11730000.0
8,17,178,Sin,George Pattison,Patrick Harbinson,08021,12860000.0
8,18,179,Responsible,David Platt & Yelena Lanskaya,Allison Intrieri,08014,11160000.0
8,19,180,Florida,David Platt,Jonathan Greene,08018,11410000.0
8,20,181,Annihilated,Peter Leto,Amanda Green,08019,10940000.0
8,21,182,Pretend,David Platt,Dawn DeNoon,08020,12750000.0
8,22,183,Screwed,Arthur W. Forney,Judith McCreary,08022,10280000.0
9,1,184,Alternate,David Platt,Neal Baer & Dawn DeNoon,09003,12100000.0
9,2,185,Avatar,Peter Leto,Paul Grellong & Chris Emposimato,09004,11660000.0
9,3,186,Impulsive,David Platt,Jonathan Greene,09001,12190000.0
9,4,187,Savant,Kate Woods,Judith McCreary,09005,12540000.0
9,5,188,Harm,Peter Leto,Josh Singer,09002,12170000.0
9,6,189,Svengali,David Platt,Kam Miller,09006,11750000.0
9,7,190,Blinded,David Platt,Jonathan Greene,09009,12490000.0
9,8,191,Fight,Juan J. Campanella,Mick Betancourt,09007,11660000.0
9,9,192,Paternity,Kate Woods,Amanda Green,09010,12290000.0
9,10,193,Snitch,Jonathan Kaplan,Mark Goffman,09008,11720000.0
9,11,194,Streetwise,Helen Shaver,Paul Grellong,09011,12350000.0
9,12,195,Signature,Arthur W. Forney,Judith McCreary,09012,15170000.0
9,13,196,Unorthodox,David Platt,Josh Singer,09013,12140000.0
9,14,197,Inconceivable,Chris Zalla,Dawn DeNoon,09014,12970000.0
9,15,198,Undercover,David Platt,Mark Goffman,09015,13270000.0
9,16,199,Closet,Peter Leto,Ken Storer,09016,11500000.0
9,17,200,Authority,David Platt,Neal Baer & Amanda Green,09017,12060000.0
9,18,201,Trade,Peter Leto,Jonathan Greene,09018,10440000.0
9,19,202,Cold,David Platt,Judith McCreary,09019,10830000.0
10,1,203,Trials,David Platt,Dawn DeNoon,10002,9520000.0
10,2,204,Confession,Arthur W. Forney,Judith McCreary,10003,10220000.0
10,3,205,Swing,David Platt,Amanda Green,10004,9400000.0
10,4,206,Lunacy,Peter Leto,Daniel Truly,10001,9350000.0
10,5,207,Retro,Peter Leto,Jonathan Greene & Joshua Kotcheff,10005,9200000.0
10,6,208,Babes,David Platt,Daniel Truly,10006,9420000.0
10,7,209,Wildlife,Peter Leto,Mick Betancourt,10008,10180000.0
